,video_id,thumbnails,Title,Published_date,Views,Likes,Comments,Year,Month,Month_name,minimum_income,maximum_income
33,M77sNp0GfQ4,https://i.ytimg.com/vi/M77sNp0GfQ4/default.jpg,بودكاست مع د.محمد ابراهيم: هل كلنا مرضى نفسيين؟ متى تذهب للطبيب النفسي؟ الرحلة من الفشل لكلية الطب؟,2022-12-17 17:30:01+00:00,309402,13931,865,2022,12,December,154.701,1856.412
34,OaFL8EfTSpA,https://i.ytimg.com/vi/OaFL8EfTSpA/default.jpg,اتسرقنا، خد بالك لتتسرق بنفس الطريقة.,2022-12-09 18:00:07+00:00,720826,44774,2179,2022,12,December,360.413,4324.956
35,EciftceoCkI,https://i.ytimg.com/vi/EciftceoCkI/default.jpg,١٠ أفلام لازم تشوفها قبل سن الـ ٣٠,2022-12-02 19:10:04+00:00,903526,51071,2211,2022,12,December,451.763,5421.156
36,Ay2PkYC35zY,https://i.ytimg.com/vi/Ay2PkYC35zY/default.jpg,٧ كذبات قالوها لك,2022-11-26 16:21:49+00:00,421049,39099,3051,2022,11,November,210.5245,2526.294
37,TSWcPa_wxEg,https://i.ytimg.com/vi/TSWcPa_wxEg/default.jpg,لن تصدق، قراءة الرواية أمتع من مشاهدة الفيلم!,2022-11-19 17:50:57+00:00,119419,10450,681,2022,11,November,59.7095,716.514
38,GJIrXqx2A0c,https://i.ytimg.com/vi/GJIrXqx2A0c/default.jpg,١٩ حاجة ممتعة تعملها بعيد عن التليفون,2022-11-14 17:30:18+00:00,713228,46547,2462,2022,11,November,356.614,4279.368
39,gnG8ahgdrd0,https://i.ytimg.com/vi/gnG8ahgdrd0/default.jpg,كيف تصبح شخص كاريزماتك؟,2022-11-04 16:00:27+00:00,753238,51431,2110,2022,11,November,376.619,4519.428
40,Nd988L8FiHw,https://i.ytimg.com/vi/Nd988L8FiHw/default.jpg,بودكاست مع سري الدين: ترك أموال هندسة البترول من أجل تلخيص الكتب على يوتيوب.,2022-10-28 12:57:40+00:00,268500,9223,613,2022,10,October,134.25,1611.0
41,I0RhkhZf-XA,https://i.ytimg.com/vi/I0RhkhZf-XA/default.jpg,تجربتي بالكامل انتقلت لماك بوك وآيفون من ويندوز و أندرويد.,2022-10-21 19:34:35+00:00,726052,36570,2303,2022,10,October,363.026,4356.312
42,OhqzDAR6a3s,https://i.ytimg.com/vi/OhqzDAR6a3s/default.jpg,إلحق احجز اسمك قبل ما يتاخد.,2022-10-14 12:07:39+00:00,233206,16927,685,2022,10,October,116.603,1399.236
43,mlxnjT1UTd8,https://i.ytimg.com/vi/mlxnjT1UTd8/default.jpg,كل البرامج والتطبيقات التي أستخدمها,2022-10-07 14:29:21+00:00,281226,20682,774,2022,10,October,140.613,1687.356
44,2T1eTM2NFL4,https://i.ytimg.com/vi/2T1eTM2NFL4/default.jpg,بودكاست مع محمد سامي: كيف تحافظ على مدخراتك ؟أفضل شخص تتعلم منه عن الاقتصاد والتاريخ.,2022-09-30 12:49:35+00:00,458128,12011,727,2022,9,September,229.064,2748.768
45,ON7DQ9a65E8,https://i.ytimg.com/vi/ON7DQ9a65E8/default.jpg,١٢ نصيحة ضرورية في بداية الثانوية,2022-09-25 19:00:08+00:00,522190,42884,2022,2022,9,September,261.095,3133.14
46,t4qMMM3VuYM,https://i.ytimg.com/vi/t4qMMM3VuYM/default.jpg,إنشاء متجر إلكتروني وابدأ البيع أونلاين في أقل من ١٠ دقائق,2022-09-16 16:00:39+00:00,908360,38593,1197,2022,9,September,454.18,5450.16
47,zRb-KNeFIxs,https://i.ytimg.com/vi/zRb-KNeFIxs/default.jpg,بودكاست مع كريم السيد:الزواج من أجنبية والسفر لانجلترا والرجوع لمصر.,2022-09-09 12:16:02+00:00,569514,21626,1068,2022,9,September,284.757,3417.084
48,7mN8W8pQHeU,https://i.ytimg.com/vi/7mN8W8pQHeU/default.jpg,مرة واحدة لا تكفي!,2022-09-02 14:44:22+00:00,380415,42247,2077,2022,9,September,190.2075,2282.49
49,iwTCcPUlCIc,https://i.ytimg.com/vi/iwTCcPUlCIc/default.jpg,الحل لكارثة الثانوية 2022,2022-08-26 14:44:31+00:00,258589,23639,1314,2022,8,August,129.2945,1551.534
50,FIeLx7urOFs,https://i.ytimg.com/vi/FIeLx7urOFs/default.jpg,أين تختفي شعلة الشغف؟,2022-08-19 12:07:29+00:00,844861,64369,2231,2022,8,August,422.4305,5069.166
52,XLlsJP9bNsM,https://i.ytimg.com/vi/XLlsJP9bNsM/default.jpg,٥ قنوات غير مشهورة أتابعهم,2022-08-05 18:51:01+00:00,425650,35591,1595,2022,8,August,212.825,2553.9
53,B0WgqQXbs6s,https://i.ytimg.com/vi/B0WgqQXbs6s/default.jpg,استخدام التليفون للشغل والتعلم والمذاكرة؟,2022-07-29 17:39:57+00:00,498046,41532,1606,2022,7,July,249.023,2988.276
54,iKDOQu4RRe0,https://i.ytimg.com/vi/iKDOQu4RRe0/default.jpg,الاستمرارية أهم من الكمية!,2022-07-22 17:38:32+00:00,515954,51024,2022,2022,7,July,257.977,3095.724
55,U0Z1kSA8xCI,https://i.ytimg.com/vi/U0Z1kSA8xCI/default.jpg,بودكاست مع أحمد صبري: ميكس دراسة الطب والتيك توك والسفر وتعليم اللغات,2022-07-15 13:05:51+00:00,1904090,81340,5476,2022,7,July,952.045,11424.54
56,Xs0J_6mTx-s,https://i.ytimg.com/vi/Xs0J_6mTx-s/default.jpg,ازاي انت ناجح رغم انك فلاح عايش في الأرياف؟  ماذا بعد الثانوية العامة ؟Q&A,2022-07-08 22:40:24+00:00,363250,23731,3289,2022,7,July,181.625,2179.5
57,pArpvL_xf6c,https://i.ytimg.com/vi/pArpvL_xf6c/default.jpg,لماذا لا نلتزم بالجدول أبداً؟,2022-07-02 15:00:35+00:00,757826,66259,1837,2022,7,July,378.913,4546.956
58,PCqJfypoobI,https://i.ytimg.com/vi/PCqJfypoobI/default.jpg,لماذا لا نحب المذاكرة😭؟,2022-06-24 14:49:03+00:00,318276,35003,1516,2022,6,June,159.138,1909.656
59,g7nH63vYIrQ,https://i.ytimg.com/vi/g7nH63vYIrQ/default.jpg,هذا الشيء علمني أهم درس في حياتي؟,2022-06-17 14:30:17+00:00,342086,32996,1437,2022,6,June,171.043,2052.516
60,fxik_X5j4XM,https://i.ytimg.com/vi/fxik_X5j4XM/default.jpg,بودكاست مع ممدوح نصرالله: تجربة ملهمة من الفشل والصيدلة لليوتيوب والكورة.,2022-06-10 19:45:02+00:00,1828797,64713,3923,2022,6,June,914.3985,10972.782
61,x0jz8cQje80,https://i.ytimg.com/vi/x0jz8cQje80/default.jpg,١٠ أفكار رهيبة لرفع جودة حياتك 👌,2022-06-03 19:29:59+00:00,512717,41322,1580,2022,6,June,256.3585,3076.302
62,QFJnI23QcB0,https://i.ytimg.com/vi/QFJnI23QcB0/default.jpg,Perfectionism المثالية عدو الانتاجية,2022-05-27 19:29:59+00:00,491052,41864,4085,2022,5,May,245.526,2946.312
63,2HhN6CPeSQ4,https://i.ytimg.com/vi/2HhN6CPeSQ4/default.jpg,عادة العظماء : تدوين اليوميات!,2022-05-20 18:25:42+00:00,1275759,80644,2617,2022,5,May,637.8795,7654.554
64,KKGVAt4z5rs,https://i.ytimg.com/vi/KKGVAt4z5rs/default.jpg,١٠ مبادئ أساسية أطبقهم في حياتي,2022-05-13 16:49:15+00:00,326297,32070,1501,2022,5,May,163.1485,1957.782
65,Gjh3AsIW35Q,https://i.ytimg.com/vi/Gjh3AsIW35Q/default.jpg,لماذا أنت حزين معظم الوقت؟,2022-05-07 16:31:50+00:00,1163555,84616,3584,2022,5,May,581.7775,6981.33
66,SvHyEUz8ngo,https://i.ytimg.com/vi/SvHyEUz8ngo/default.jpg,١٠ أخطاء تجنبها قبل الامتحانات,2022-04-29 22:51:17+00:00,923055,65139,2280,2022,4,April,461.5275,5538.33
67,hvI6u7xytuI,https://i.ytimg.com/vi/hvI6u7xytuI/default.jpg,إزاي تكون محظوظ؟,2022-04-22 12:00:19+00:00,173689,18000,704,2022,4,April,86.8445,1042.134
68,lbx5dHrcqx0,https://i.ytimg.com/vi/lbx5dHrcqx0/default.jpg,روتيني اليومي في الثانوية العامة بالتفصيل ٩٩٪‏؟,2022-04-16 18:30:38+00:00,1185333,94378,3461,2022,4,April,592.6665,7111.998
69,Fpk92D6ZFuE,https://i.ytimg.com/vi/Fpk92D6ZFuE/default.jpg,الراحة هي سر التعب,2022-04-08 19:10:45+00:00,1548928,90035,2772,2022,4,April,774.464,9293.568
70,JIhLZvtj2bg,https://i.ytimg.com/vi/JIhLZvtj2bg/default.jpg,بودكاست جداً خطير مع محمود أبو اسماعيل (+١٦),2022-04-01 12:01:41+00:00,920921,40865,1996,2022,4,April,460.4605,5525.526
71,hIXAMXsyE98,https://i.ytimg.com/vi/hIXAMXsyE98/default.jpg,أغرب ١٠ تناقضات في حياتك,2022-03-25 12:56:07+00:00,257962,26102,1496,2022,3,March,128.981,1547.772
72,UPmZ_Fg1x-Y,https://i.ytimg.com/vi/UPmZ_Fg1x-Y/default.jpg,كيف تبني موقعك 🌐 بنفسك؟,2022-03-18 17:30:05+00:00,342597,18651,489,2022,3,March,171.2985,2055.582
73,ug0J3yiHkeE,https://i.ytimg.com/vi/ug0J3yiHkeE/default.jpg,كيف تزيد هرمونات السعادة؟,2022-03-11 12:33:50+00:00,624007,46214,1695,2022,3,March,312.0035,3744.042
74,AgxGZIKXD3c,https://i.ytimg.com/vi/AgxGZIKXD3c/default.jpg,كيف تعصر فائدة أي كتاب؟,2022-03-04 13:09:19+00:00,458511,38432,1781,2022,3,March,229.2555,2751.066
75,LGNQWbjgcAc,https://i.ytimg.com/vi/LGNQWbjgcAc/default.jpg,لماذا تفشل؟,2022-02-25 13:09:36+00:00,271951,32884,1418,2022,2,February,135.9755,1631.706
76,z902kSjuCA8,https://i.ytimg.com/vi/z902kSjuCA8/default.jpg,٣ كتب غيرت حياتي للأفضل,2022-02-19 13:00:35+00:00,326372,24937,1158,2022,2,February,163.186,1958.232
77,2S_qQVYbt18,https://i.ytimg.com/vi/2S_qQVYbt18/default.jpg,لماذا الجاهل شديد الثقة بنفسه؟,2022-02-11 12:11:28+00:00,280869,27513,1366,2022,2,February,140.4345,1685.214
78,EDbTO7ab4r4,https://i.ytimg.com/vi/EDbTO7ab4r4/default.jpg,كيف تتحرر من استعباد التليفون لك؟,2022-02-04 14:55:03+00:00,827694,66116,2513,2022,2,February,413.847,4966.164
79,e21mwrZc6B0,https://i.ytimg.com/vi/e21mwrZc6B0/default.jpg,لماذا لن تحقق أهداف هذه السنة؟ السر!,2022-01-28 16:08:04+00:00,190865,15784,801,2022,1,January,95.4325,1145.19
80,rxtaYJEhwLc,https://i.ytimg.com/vi/rxtaYJEhwLc/default.jpg,كيف نستمر بدون تشجيع؟ كيف أتعامل مع الضغوطات؟ اليوتيوبرز اللي أتابعهم؟ كيف التزم بعاداتي؟ Q&A,2022-01-21 15:07:28+00:00,555697,35777,1674,2022,1,January,277.8485,3334.182
81,C2JWXBzqezU,https://i.ytimg.com/vi/C2JWXBzqezU/default.jpg,بناء موقع الكتروني في ٥ دقائق بدون برمجة او تصميم | Wuilt,2022-01-14 13:24:51+00:00,1277012,57438,2159,2022,1,January,638.506,7662.072
82,-G8O-cJ6xpk,https://i.ytimg.com/vi/-G8O-cJ6xpk/default.jpg,لا تعلم طفلك اللغة الإنجليزية مبكراً؟,2022-01-08 10:30:39+00:00,273046,21010,1114,2022,1,January,136.523,1638.276
83,GjO3E8-C7zE,https://i.ytimg.com/vi/GjO3E8-C7zE/default.jpg,أهم ١٠ دروس تعلمتهم هذه السنة ٢٠٢١,2021-12-31 14:13:28+00:00,387729,34619,1371,2021,12,December,193.8645,2326.374
84,zRvjAyO3v44,https://i.ytimg.com/vi/zRvjAyO3v44/default.jpg,لماذا لا أحب المدرسة؟,2021-12-24 14:54:23+00:00,268852,26232,1448,2021,12,December,134.426,1613.112
85,KHDBg1A0mxE,https://i.ytimg.com/vi/KHDBg1A0mxE/default.jpg,كيف تصبح غنياً💰؟ دون الاعتماد على الحظ!,2021-12-17 12:48:10+00:00,666092,50084,1824,2021,12,December,333.046,3996.552
86,KdRP7VncPac,https://i.ytimg.com/vi/KdRP7VncPac/default.jpg,أهم ٦ قواعد للانجاز  والانتاجية!,2021-12-10 18:57:27+00:00,975961,131380,2329,2021,12,December,487.9805,5855.766
87,amXfgu56hkg,https://i.ytimg.com/vi/amXfgu56hkg/default.jpg,كيف تبني عقلاً قوياً؟ 🧠,2021-12-03 15:57:20+00:00,1300538,101723,2164,2021,12,December,650.269,7803.228
88,qhT5DxeEvAQ,https://i.ytimg.com/vi/qhT5DxeEvAQ/default.jpg,أول خطوة للعمل على الانترنت:  لازم يكون عندك موقع فوراً.,2021-11-26 14:55:39+00:00,1402095,31389,1377,2021,11,November,701.0475,8412.57
89,C3-IebTWP08,https://i.ytimg.com/vi/C3-IebTWP08/default.jpg,قبل أن تشتري أي شيء 🛑✋ | اعرف كيف يخدعوك بخصومات الجمعة السوداء Black Friday,2021-11-19 15:33:31+00:00,236390,17069,668,2021,11,November,118.195,1418.34
90,wbwphCOiDlI,https://i.ytimg.com/vi/wbwphCOiDlI/default.jpg,٥ كتب أهم من كتب المدرسة والجامعة,2021-11-15 14:13:36+00:00,1239107,82499,2693,2021,11,November,619.5535,7434.642
91,7VCnBn5ryrE,https://i.ytimg.com/vi/7VCnBn5ryrE/default.jpg,نظام الانجاز والانتاجية للكسالى | كان يستخدمه رئيس أمريكي سابق,2021-11-05 12:47:34+00:00,886541,63454,1798,2021,11,November,443.2705,5319.246
92,LvEBjM__GlY,https://i.ytimg.com/vi/LvEBjM__GlY/default.jpg,كيف أحافظ على حماسي والاستمرارية في تحقيق الأهداف؟ Q&A,2021-10-29 15:41:22+00:00,299884,22664,3168,2021,10,October,149.942,1799.304
93,VkUy7kGFY04,https://i.ytimg.com/vi/VkUy7kGFY04/default.jpg,التعليب ..عفواَ... *التعليم الحقيقي,2021-10-22 16:00:07+00:00,462794,43486,2082,2021,10,October,231.397,2776.764
94,lPOMtVevmiE,https://i.ytimg.com/vi/lPOMtVevmiE/default.jpg,بودكاست مع محمد أبو سريع : لماذا هرب هذا المبرمج من ألمانيا؟,2021-10-17 10:17:13+00:00,969067,28923,1992,2021,10,October,484.5335,5814.402
95,_FvLYTByfuI,https://i.ytimg.com/vi/_FvLYTByfuI/default.jpg,الشيء الوحيد الذي يمنع عنك السعادة؟,2021-10-08 14:09:36+00:00,323923,38388,2423,2021,10,October,161.9615,1943.538
96,L-QcoQh4AeY,https://i.ytimg.com/vi/L-QcoQh4AeY/default.jpg,"حقيقة ""علم"" الطاقة ومدربين التنمية البشرية والكوتشنج مع كريم إسماعيل .@Kareem",2021-10-01 12:47:08+00:00,688668,21764,1140,2021,10,October,344.334,4132.008
97,GiMNSXGfI7c,https://i.ytimg.com/vi/GiMNSXGfI7c/default.jpg,أنت تحتاج بعض الغباء في حياتك !,2021-09-24 10:59:11+00:00,344829,33880,1610,2021,9,September,172.4145,2068.974
98,kfm85z3r-Kg,https://i.ytimg.com/vi/kfm85z3r-Kg/default.jpg,بودكاست مع إبراهيم عادل مؤسس زي أمريكان إنجلش وطليق  @ZAmericanEnglish  @Taleek,2021-09-17 12:39:08+00:00,2309175,98313,7386,2021,9,September,1154.5875,13855.05
99,CrGDEFV4GCw,https://i.ytimg.com/vi/CrGDEFV4GCw/default.jpg,إذا أردت أن تنجز : لا تطارد أرنبين 🐇🐇 في نفس الوقت.,2021-09-10 13:20:57+00:00,402004,40210,1919,2021,9,September,201.002,2412.024
100,BzYuHkgYtsI,https://i.ytimg.com/vi/BzYuHkgYtsI/default.jpg,بودكاست مع د.رمزي عبدالعزيز : من عامل في مصنع لدكتور جامعة في فنلندا.,2021-09-04 10:22:42+00:00,1029593,26775,1995,2021,9,September,514.7965,6177.558
101,R4IgNCBv2D4,https://i.ytimg.com/vi/R4IgNCBv2D4/default.jpg,قالت له: إبقى تف في وشي لو نفعت😱,2021-09-01 19:31:16+00:00,141007,13427,433,2021,9,September,70.5035,846.042
102,OuPZvvNVXmQ,https://i.ytimg.com/vi/OuPZvvNVXmQ/default.jpg,تحررت من الهاتف الذكي لمدة ٣٠ يوم,2021-08-27 11:15:47+00:00,514995,44113,2139,2021,8,August,257.4975,3089.97
103,eSXKzkk6ub4,https://i.ytimg.com/vi/eSXKzkk6ub4/default.jpg,١٠ حاجات لازم تعملهم قبل سن ال ٢٥,2021-08-20 14:00:16+00:00,2255073,149563,2974,2021,8,August,1127.5365,13530.438
104,D9bDV5EKatE,https://i.ytimg.com/vi/D9bDV5EKatE/default.jpg,هل الذكاء وراثي أم مكتسب؟! 🧠,2021-08-13 13:53:11+00:00,707542,59951,2054,2021,8,August,353.771,4245.252
105,0-b2BmZhCi4,https://i.ytimg.com/vi/0-b2BmZhCi4/default.jpg,بودكاست مع عمرو رمضان: المنح والدراسة في الخارج بعد الثانوية والكلية.,2021-08-06 12:02:13+00:00,595980,22419,1320,2021,8,August,297.99,3575.88
106,_ruu_Or_7PM,https://i.ytimg.com/vi/_ruu_Or_7PM/default.jpg,الكندل: أفضل جهاز اشتريته في حياتي؟Kindle,2021-07-30 13:42:15+00:00,551148,32189,1765,2021,7,July,275.574,3306.888
107,AWdFIFxvLWI,https://i.ytimg.com/vi/AWdFIFxvLWI/default.jpg,خد العيدية من دروس اونلاين | تحديث كورس نوشن واكبر خصم,2021-07-23 15:00:47+00:00,82145,8115,634,2021,7,July,41.0725,492.87
108,-NZJMzJf1ng,https://i.ytimg.com/vi/-NZJMzJf1ng/default.jpg,لماذا ينجح الناجحون؟,2021-07-16 13:41:28+00:00,489855,55604,2459,2021,7,July,244.9275,2939.13
109,YuVQsLCvck8,https://i.ytimg.com/vi/YuVQsLCvck8/default.jpg,تيشرتات دروس اونلاين متاحة الآن 🤩🔥,2021-07-09 19:58:41+00:00,112997,8780,794,2021,7,July,56.4985,677.982
110,-QiTN3QJ-2s,https://i.ytimg.com/vi/-QiTN3QJ-2s/default.jpg,الخوف قبل الامتحانات | كيف تتعامل معه؟,2021-07-09 13:12:44+00:00,312339,29071,2108,2021,7,July,156.1695,1874.034
111,Z-0OpHiw5DU,https://i.ytimg.com/vi/Z-0OpHiw5DU/default.jpg,كيف تتذكر كل ما تقرأه؟ استراتيجية التكرار المتباعد.,2021-07-02 12:14:02+00:00,277101,23850,1079,2021,7,July,138.5505,1662.606
112,kRJF-yX5kfo,https://i.ytimg.com/vi/kRJF-yX5kfo/default.jpg,بودكاست مع اسامة الزيرو: البرمجة والفلوس والشغل.,2021-06-25 13:25:11+00:00,1545480,51355,1786,2021,6,June,772.74,9272.88
113,bJ6kfrEQJuM,https://i.ytimg.com/vi/bJ6kfrEQJuM/default.jpg,تنظيم الوقت والمهام بأسهل طريقة ⏰ | Time Blocking.,2021-06-18 13:57:30+00:00,946553,63516,1737,2021,6,June,473.2765,5679.318
114,e4qt-yM8E2E,https://i.ytimg.com/vi/e4qt-yM8E2E/default.jpg,شئ واحد لو رجع بيا الزمن لسن المراهقة هعمله؟ حلمي كان اطلع ايه وانا صغير؟,2021-06-11 14:17:41+00:00,250069,34811,1648,2021,6,June,125.0345,1500.414
115,5Z4MorOFbEo,https://i.ytimg.com/vi/5Z4MorOFbEo/default.jpg,لا تتبع شغفك Do NOT follow your passion.,2021-06-04 20:11:09+00:00,378835,38081,1738,2021,6,June,189.4175,2273.01
116,AuOcWaYz_7I,https://i.ytimg.com/vi/AuOcWaYz_7I/default.jpg,كيف تستغل تليفونك الذكي؟ ولا تجعله يستغلك!,2021-05-28 11:01:20+00:00,626712,45589,1571,2021,5,May,313.356,3760.272
117,mzMtVNHFsNI,https://i.ytimg.com/vi/mzMtVNHFsNI/default.jpg,٦ أشهر بدون فيسبوك، ما النتيجة؟,2021-05-22 18:52:29+00:00,344462,37228,3256,2021,5,May,172.231,2066.772
